Day,s@day,i@day,r@day
1,1.000e+00,2.467e-06,2.000e-07
2,1.000e+00,3.042e-06,4.467e-07
3,1.000e+00,3.752e-06,7.509e-07
4,1.000e+00,4.628e-06,1.126e-06
5,1.000e+00,5.707e-06,1.589e-06
6,1.000e+00,7.039e-06,2.160e-06
7,1.000e+00,8.681e-06,2.863e-06
8,1.000e+00,1.071e-05,3.732e-06
9,1.000e+00,1.321e-05,4.802e-06
10,1.000e+00,1.629e-05,6.123e-06
11,1.000e+00,2.009e-05,7.752e-06
12,1.000e+00,2.477e-05,9.760e-06
13,1.000e+00,3.055e-05,1.224e-05
14,9.999e-01,3.768e-05,1.529e-05
15,9.999e-01,4.647e-05,1.906e-05
16,9.999e-01,5.732e-05,2.371e-05
17,9.999e-01,7.069e-05,2.944e-05
18,9.999e-01,8.718e-05,3.651e-05
19,9.998e-01,1.075e-04,4.523e-05
20,9.998e-01,1.326e-04,5.598e-05
21,9.998e-01,1.635e-04,6.924e-05
22,9.997e-01,2.017e-04,8.559e-05
23,9.996e-01,2.487e-04,1.058e-04
24,9.996e-01,3.067e-04,1.306e-04
25,9.995e-01,3.783e-04,1.613e-04
26,9.993e-01,4.664e-04,1.991e-04
27,9.992e-01,5.752e-04,2.458e-04
28,9.990e-01,7.092e-04,3.033e-04
29,9.988e-01,8.745e-04,3.742e-04
30,9.985e-01,1.078e-03,4.617e-04
31,9.981e-01,1.329e-03,5.695e-04
32,9.977e-01,1.638e-03,7.024e-04
33,9.971e-01,2.019e-03,8.662e-04
34,9.964e-01,2.489e-03,1.068e-03
35,9.956e-01,3.067e-03,1.317e-03
36,9.946e-01,3.778e-03,1.624e-03
37,9.933e-01,4.652e-03,2.001e-03
38,9.918e-01,5.727e-03,2.467e-03
39,9.899e-01,7.048e-03,3.039e-03
40,9.876e-01,8.669e-03,3.744e-03
41,9.847e-01,1.066e-02,4.611e-03
42,9.812e-01,1.309e-02,5.677e-03
43,9.770e-01,1.606e-02,6.986e-03
44,9.717e-01,1.968e-02,8.592e-03
45,9.654e-01,2.409e-02,1.056e-02
46,9.576e-01,2.943e-02,1.297e-02
47,9.482e-01,3.589e-02,1.591e-02
48,9.369e-01,4.364e-02,1.950e-02
49,9.232e-01,5.291e-02,2.387e-02
50,9.069e-01,6.390e-02,2.916e-02
51,8.876e-01,7.682e-02,3.555e-02
52,8.649e-01,9.187e-02,4.323e-02
53,8.384e-01,1.092e-01,5.242e-02
54,8.079e-01,1.288e-01,6.333e-02
55,7.732e-01,1.506e-01,7.621e-02
56,7.344e-01,1.743e-01,9.126e-02
57,6.917e-01,1.996e-01,1.087e-01
58,6.457e-01,2.256e-01,1.287e-01
59,5.972e-01,2.516e-01,1.512e-01
60,5.471e-01,2.765e-01,1.764e-01
61,4.967e-01,2.993e-01,2.040e-01
62,4.471e-01,3.189e-01,2.340e-01
63,3.996e-01,3.346e-01,2.659e-01
64,3.550e-01,3.457e-01,2.993e-01
65,3.141e-01,3.520e-01,3.339e-01
66,2.772e-01,3.537e-01,3.691e-01
67,2.446e-01,3.510e-01,4.044e-01
68,2.159e-01,3.445e-01,4.395e-01
69,1.911e-01,3.349e-01,4.740e-01
70,1.698e-01,3.227e-01,5.075e-01
71,1.515e-01,3.087e-01,5.398e-01
72,1.360e-01,2.934e-01,5.706e-01
73,1.227e-01,2.774e-01,6.000e-01
74,1.113e-01,2.610e-01,6.277e-01
75,1.016e-01,2.446e-01,6.538e-01
76,9.335e-02,2.284e-01,6.783e-01
77,8.624e-02,2.127e-01,7.011e-01
78,8.013e-02,1.975e-01,7.224e-01
79,7.485e-02,1.830e-01,7.421e-01
80,7.028e-02,1.693e-01,7.604e-01
81,6.632e-02,1.563e-01,7.774e-01
82,6.286e-02,1.442e-01,7.930e-01
83,5.984e-02,1.328e-01,8.074e-01
84,5.719e-02,1.221e-01,8.207e-01
85,5.486e-02,1.122e-01,8.329e-01
86,5.281e-02,1.031e-01,8.441e-01
87,5.100e-02,9.458e-02,8.544e-01
88,4.939e-02,8.673e-02,8.639e-01
89,4.796e-02,7.949e-02,8.726e-01
90,4.669e-02,7.281e-02,8.805e-01
91,4.556e-02,6.666e-02,8.878e-01
92,4.455e-02,6.101e-02,8.944e-01
93,4.364e-02,5.581e-02,9.005e-01
94,4.283e-02,5.104e-02,9.061e-01
95,4.210e-02,4.667e-02,9.112e-01
96,4.144e-02,4.266e-02,9.159e-01
97,4.085e-02,3.898e-02,9.202e-01
98,4.032e-02,3.561e-02,9.241e-01
99,3.985e-02,3.253e-02,9.276e-01
100,3.941e-02,2.971e-02,9.309e-01
101,3.902e-02,2.713e-02,9.339e-01
102,3.867e-02,2.477e-02,9.366e-01
103,3.835e-02,2.261e-02,9.390e-01
104,3.806e-02,2.064e-02,9.413e-01
105,3.780e-02,1.884e-02,9.434e-01
106,3.756e-02,1.719e-02,9.452e-01
107,3.735e-02,1.569e-02,9.470e-01
108,3.715e-02,1.431e-02,9.485e-01
109,3.697e-02,1.306e-02,9.500e-01
110,3.681e-02,1.191e-02,9.513e-01
111,3.667e-02,1.087e-02,9.525e-01
112,3.653e-02,9.915e-03,9.536e-01
113,3.641e-02,9.044e-03,9.545e-01
114,3.630e-02,8.250e-03,9.554e-01
115,3.620e-02,7.524e-03,9.563e-01
116,3.611e-02,6.863e-03,9.570e-01
117,3.603e-02,6.259e-03,9.577e-01
118,3.596e-02,5.708e-03,9.583e-01
119,3.589e-02,5.206e-03,9.589e-01
120,3.582e-02,4.748e-03,9.594e-01
